xactid;op
000014A4000F;5
000014A4000F;8
000014A4000F;5
000014A4000F;12
000014A4000F;5
000014A4000F;12
000014A4000F;12
000014A4000F;12
000014A4000F;5
000014A4000F;5
000014A4000F;5
000014A4000F;8
000014A4000F;21
000014A4000F;72
000014A4000F;66
000014A4000F;72
000014A4000F;66
000014A4000F;72
000014A4000F;66
000014A4000F;30
000014A60003;0
000014A60003;65
000014A60003;65
000014A60003;65
000014A60003;30
000014A60008;0
000014A60008;65
000014A60008;65
000014A60008;30
000014A6000C;0
000014A6000C;14
000014A6000C;4
000014A6000C;4
000014A6000C;4
000014A6000C;4
000014A6000C;7
000014A6000C;41
000014A6000C;39
000014A6000C;13
000014A6000C;13
000014A6000C;4
000014A6000C;7
000014A6000C;63
000014A6000C;71
000014A6000C;30
000014A7000A;0
000014A7000A;77
000014A7000A;12
000014A7000A;12
000014A7000A;12
000014A7000A;5
000014A7000A;5
000014A7000A;5
000014A7000A;8
000014A7000A;5
000014A7000A;12
000014A7000A;5
000014A7000A;8
000014A7000A;21
000014A7000A;72
000014A7000A;66
000014A7000A;30
000014A80005;0
000014A80005;14
000014A80005;4
000014A80005;4
000014A80005;4
000014A80005;4
000014A80005;7
000014A80005;41
000014A80005;39
000014A80005;13
000014A80005;13
000014A80005;4
000014A80005;7
000014A80005;63
000014A80005;71
000014A80005;51
000014A80005;52
000014A80005;30
000014A90002;0
000014A90002;41
000014A90002;39
000014A90002;13
000014A90002;77
000014A90002;41
000014A90002;39
000014A90002;13
000014A90002;7
000014A90002;68
000014A90002;72
000014A90002;65
000014A90002;71
000014A90002;51
000014A90002;52
